beach_name,collection_date,site_name,e_coli,Date,is_outlier
Sunnyside Beach,2024-08-05,22,10,2024-08-05,Normal
Marie Curtis Park East Beach,2024-08-04,29,90,2024-08-04,Normal
Marie Curtis Park East Beach,2024-08-04,33,40,2024-08-04,Normal
Marie Curtis Park East Beach,2024-08-04,32,50,2024-08-04,Normal
Marie Curtis Park East Beach,2024-08-04,31,10,2024-08-04,Normal
Marie Curtis Park East Beach,2024-08-04,30,30,2024-08-04,Normal
Sunnyside Beach,2024-08-04,18,300,2024-08-04,Normal
Sunnyside Beach,2024-08-04,17,270,2024-08-04,Normal
Sunnyside Beach,2024-08-04,20,60,2024-08-04,Normal
Sunnyside Beach,2024-08-04,21,50,2024-08-04,Normal
Sunnyside Beach,2024-08-04,19,380,2024-08-04,Normal
Sunnyside Beach,2024-08-04,22,110,2024-08-04,Normal
Marie Curtis Park East Beach,2024-08-03,29,20,2024-08-03,Normal
Marie Curtis Park East Beach,2024-08-03,33,10,2024-08-03,Normal
Marie Curtis Park East Beach,2024-08-03,32,10,2024-08-03,Normal
Marie Curtis Park East Beach,2024-08-03,31,10,2024-08-03,Normal
Marie Curtis Park East Beach,2024-08-03,30,110,2024-08-03,Normal
Sunnyside Beach,2024-08-03,18,220,2024-08-03,Normal
Sunnyside Beach,2024-08-03,17,110,2024-08-03,Normal
Sunnyside Beach,2024-08-03,20,80,2024-08-03,Normal
Sunnyside Beach,2024-08-03,21,210,2024-08-03,Normal
Sunnyside Beach,2024-08-03,19,250,2024-08-03,Normal
Sunnyside Beach,2024-08-03,22,140,2024-08-03,Normal
Marie Curtis Park East Beach,2024-08-02,29,450,2024-08-02,Normal
Marie Curtis Park East Beach,2024-08-02,33,490,2024-08-02,Normal
Marie Curtis Park East Beach,2024-08-02,32,470,2024-08-02,Normal
Marie Curtis Park East Beach,2024-08-02,31,450,2024-08-02,Normal
Marie Curtis Park East Beach,2024-08-02,30,370,2024-08-02,Normal
Sunnyside Beach,2024-08-02,18,120,2024-08-02,Normal
Sunnyside Beach,2024-08-02,17,180,2024-08-02,Normal
Sunnyside Beach,2024-08-02,20,10,2024-08-02,Normal
Sunnyside Beach,2024-08-02,21,10,2024-08-02,Normal
Sunnyside Beach,2024-08-02,19,210,2024-08-02,Normal
Sunnyside Beach,2024-08-02,22,20,2024-08-02,Normal
Marie Curtis Park East Beach,2024-08-01,29,180,2024-08-01,Normal
Marie Curtis Park East Beach,2024-08-01,33,10,2024-08-01,Normal
Marie Curtis Park East Beach,2024-08-01,32,20,2024-08-01,Normal
Marie Curtis Park East Beach,2024-08-01,31,110,2024-08-01,Normal
Marie Curtis Park East Beach,2024-08-01,30,50,2024-08-01,Normal
Sunnyside Beach,2024-08-01,18,140,2024-08-01,Normal
Sunnyside Beach,2024-08-01,17,80,2024-08-01,Normal
Sunnyside Beach,2024-08-01,20,70,2024-08-01,Normal
Sunnyside Beach,2024-08-01,21,270,2024-08-01,Normal
Sunnyside Beach,2024-08-01,19,130,2024-08-01,Normal
Sunnyside Beach,2024-08-01,22,150,2024-08-01,Normal
Marie Curtis Park East Beach,2024-07-31,29,180,2024-07-31,Normal
Marie Curtis Park East Beach,2024-07-31,33,210,2024-07-31,Normal
Marie Curtis Park East Beach,2024-07-31,32,170,2024-07-31,Normal
Marie Curtis Park East Beach,2024-07-31,31,350,2024-07-31,Normal
Marie Curtis Park East Beach,2024-07-31,30,330,2024-07-31,Normal
Sunnyside Beach,2024-07-31,18,220,2024-07-31,Normal
Sunnyside Beach,2024-07-31,17,260,2024-07-31,Normal
Sunnyside Beach,2024-07-31,20,270,2024-07-31,Normal
Sunnyside Beach,2024-07-31,21,430,2024-07-31,Normal
Sunnyside Beach,2024-07-31,19,890,2024-07-31,Normal
Sunnyside Beach,2024-07-31,22,340,2024-07-31,Normal
Marie Curtis Park East Beach,2024-07-30,29,30,2024-07-30,Normal
Marie Curtis Park East Beach,2024-07-30,33,40,2024-07-30,Normal
